,wer,ld,m,insertions,deletions,substitutions,inserted_words,deleted_words,substituted_words
0,0.0,0,9,0,0,0,[],[],[]
1,0.0,0,6,0,0,0,[],[],[]
2,0.0,0,8,0,0,0,[],[],[]
3,0.0,0,9,0,0,0,[],[],[]
4,0.0,0,8,0,0,0,[],[],[]
5,0.0,0,5,0,0,0,[],[],[]
6,0.0,0,9,0,0,0,[],[],[]
7,0.1,1,10,0,0,1,[],[],"[('menyepaknya', 'menyempaknya')]"
8,0.09090909090909091,1,11,0,0,1,[],[],"[('huh', 'hah')]"
9,0.09090909090909091,1,11,1,0,0,['diaahy'],[],[]
10,0.0,0,7,0,0,0,[],[],[]
11,0.0,0,9,0,0,0,[],[],[]
12,0.2857142857142857,2,7,0,1,1,[],['benar'],"[('benar', 'benar-benar')]"
13,0.0,0,10,0,0,0,[],[],[]
14,0.0,0,10,0,0,0,[],[],[]
15,0.14285714285714285,1,7,0,0,1,[],[],"[('kembali', 'kebali')]"
16,0.0,0,7,0,0,0,[],[],[]
17,0.0,0,5,0,0,0,[],[],[]
18,0.0,0,13,0,0,0,[],[],[]
19,0.18181818181818182,2,11,0,0,2,[],[],"[('sebut', 'serebut'), ('sahaja', 'saja')]"
20,0.0,0,8,0,0,0,[],[],[]
21,0.0,0,8,0,0,0,[],[],[]
22,0.0,0,4,0,0,0,[],[],[]
23,0.0,0,6,0,0,0,[],[],[]
24,0.0,0,12,0,0,0,[],[],[]
25,0.0,0,4,0,0,0,[],[],[]
26,0.5,2,4,1,0,1,['apa'],[],"[('apa-apa', 'apa')]"
27,0.0,0,10,0,0,0,[],[],[]
28,0.0,0,8,0,0,0,[],[],[]
29,0.0,0,5,0,0,0,[],[],[]
30,0.0,0,12,0,0,0,[],[],[]
31,0.14285714285714285,1,7,0,0,1,[],[],"[('soal', 'soalat')]"
32,0.0,0,12,0,0,0,[],[],[]
33,0.0,0,5,0,0,0,[],[],[]
34,0.0,0,13,0,0,0,[],[],[]
35,0.0,0,9,0,0,0,[],[],[]
36,0.0,0,13,0,0,0,[],[],[]
37,0.0,0,9,0,0,0,[],[],[]
38,0.0,0,6,0,0,0,[],[],[]
39,0.0,0,7,0,0,0,[],[],[]
40,0.0,0,5,0,0,0,[],[],[]
41,0.25,2,8,0,0,2,[],[],"[('bisa', 'bisah'), ('inggeris', 'english')]"
42,0.08333333333333333,1,12,0,0,1,[],[],"[('dorm', 'dom')]"
43,0.0,0,8,0,0,0,[],[],[]
44,0.0,0,8,0,0,0,[],[],[]
45,0.0,0,5,0,0,0,[],[],[]
46,0.2,2,10,0,0,2,[],[],"[('suria', 'surya'), ('merajuk', 'meracuk')]"
47,0.0,0,11,0,0,0,[],[],[]
48,0.0,0,5,0,0,0,[],[],[]
49,0.0,0,14,0,0,0,[],[],[]
50,0.16666666666666666,2,12,1,0,1,['pas'],[],"[('perasaan', 'ahan')]"
51,0.0,0,6,0,0,0,[],[],[]
52,0.07142857142857142,1,14,0,0,1,[],[],"[('sharay', 'syariah')]"
53,0.0,0,11,0,0,0,[],[],[]
54,0.23076923076923078,3,13,0,1,2,[],['dia'],"[('lakukan', 'dilakukan'), ('ayahnya', 'ayahny')]"
55,0.16666666666666666,1,6,0,0,1,[],[],"[('meloloskan', 'meleloskan')]"
56,0.0,0,4,0,0,0,[],[],[]
57,0.125,1,8,0,0,1,[],[],"[('hanifah', 'hanifahm')]"
58,0.0,0,17,0,0,0,[],[],[]
59,0.25,2,8,1,0,1,['ke'],[],"[('kesan', 'san')]"
60,0.0,0,6,0,0,0,[],[],[]
61,0.058823529411764705,1,17,1,0,0,['.'],[],[]
62,0.0,0,10,0,0,0,[],[],[]
63,0.0,0,6,0,0,0,[],[],[]
64,0.06666666666666667,1,15,0,0,1,[],[],"[('kamera', 'kamara')]"
65,0.1,1,10,0,0,1,[],[],"[('berniat', 'meniat')]"
66,0.0,0,14,0,0,0,[],[],[]
67,0.0,0,13,0,0,0,[],[],[]
68,0.2,1,5,0,0,1,[],[],"[('maksud', 'masud')]"
69,0.05555555555555555,1,18,0,0,1,[],[],"[('sepupu', 'sepupun')]"
70,0.0,0,13,0,0,0,[],[],[]
71,0.0,0,7,0,0,0,[],[],[]
72,0.0,0,6,0,0,0,[],[],[]
73,0.0,0,15,0,0,0,[],[],[]
74,0.0,0,17,0,0,0,[],[],[]
75,0.0,0,8,0,0,0,[],[],[]
76,0.0,0,5,0,0,0,[],[],[]
77,0.25,3,12,0,0,3,[],[],"[('pintas', 'pintah'), ('suara', 'sura'), ('dadanya', 'ladanya')]"
78,0.0,0,4,0,0,0,[],[],[]
79,0.0,0,11,0,0,0,[],[],[]
80,0.0,0,7,0,0,0,[],[],[]
81,0.0,0,6,0,0,0,[],[],[]
82,0.1111111111111111,1,9,0,0,1,[],[],"[('laki', 'lelaki')]"
83,0.0,0,16,0,0,0,[],[],[]
84,0.0,0,6,0,0,0,[],[],[]
85,0.16666666666666666,2,12,0,0,2,[],[],"[('menderu-deru', 'menduru-duru'), ('menerobos', 'meneropos')]"
86,0.1,1,10,0,1,0,[],['ke'],[]
87,0.0,0,12,0,0,0,[],[],[]
88,0.0625,1,16,0,0,1,[],[],"[('asas', 'asal')]"
89,0.0,0,5,0,0,0,[],[],[]
90,0.11764705882352941,2,17,0,0,2,[],[],"[('karpet', 'kapert'), ('tercemar', 'tercema')]"
91,0.0,0,7,0,0,0,[],[],[]
92,0.0,0,13,0,0,0,[],[],[]
93,0.0,0,8,0,0,0,[],[],[]
94,0.25,1,4,0,0,1,[],[],"[('bertaburan', 'pertaburan')]"
95,0.0,0,6,0,0,0,[],[],[]
96,0.0,0,9,0,0,0,[],[],[]
97,0.0,0,7,0,0,0,[],[],[]
98,0.0,0,10,0,0,0,[],[],[]
99,0.0,0,5,0,0,0,[],[],[]
100,0.0,0,12,0,0,0,[],[],[]
101,0.375,3,8,1,0,2,['dia'],[],"[('dipandang', 'pandang'), ('hadapan', 'hadapannya')]"
102,0.17647058823529413,3,17,0,1,2,[],['masing'],"[('kat', 'ke'), ('masing', 'masing-masing')]"
103,0.2222222222222222,2,9,0,1,1,[],['tiba'],"[('tiba', 'tiba-tiba')]"
104,0.0,0,8,0,0,0,[],[],[]
105,0.14285714285714285,1,7,0,0,1,[],[],"[('perempuan', 'peremuan')]"
106,0.5,2,4,1,0,1,['mengada'],[],"[('mengada-ngada', 'ngada')]"
107,0.0,0,7,0,0,0,[],[],[]
108,0.0,0,12,0,0,0,[],[],[]
109,0.08333333333333333,1,12,0,0,1,[],[],"[('menyusuri', 'menyusui')]"
110,0.0,0,9,0,0,0,[],[],[]
111,0.0,0,6,0,0,0,[],[],[]
112,0.0,0,4,0,0,0,[],[],[]
113,0.0,0,6,0,0,0,[],[],[]
114,0.26666666666666666,4,15,0,0,4,[],[],"[('wisma', 'usma'), ('putra', 'putera'), ('berterusan', 'bertuerusan'), ('rasa', 'biasa')]"
115,0.0,0,6,0,0,0,[],[],[]
116,0.8,4,5,0,2,2,[],"['di', 'depa']","[('seluas', 'didepa'), ('luasnya', 'seluas-luasnya')]"
117,0.16666666666666666,1,6,0,0,1,[],[],"[('berkeadaan', 'berkadaan')]"
118,0.0,0,9,0,0,0,[],[],[]
119,0.0,0,7,0,0,0,[],[],[]
120,0.14285714285714285,1,7,0,0,1,[],[],"[('ini', 'kini')]"
121,0.0,0,13,0,0,0,[],[],[]
122,0.0,0,5,0,0,0,[],[],[]
123,0.0,0,6,0,0,0,[],[],[]
124,0.0,0,5,0,0,0,[],[],[]
125,0.14285714285714285,1,7,0,0,1,[],[],"[('gelak', 'gela')]"
126,0.0,0,5,0,0,0,[],[],[]
127,0.125,1,8,0,0,1,[],[],"[('pejalan', 'bejalan')]"
128,0.0,0,13,0,0,0,[],[],[]
129,0.0,0,9,0,0,0,[],[],[]
130,0.3333333333333333,2,6,1,0,1,['dapat'],[],"[('dapatlah', 'lah')]"
131,0.0,0,8,0,0,0,[],[],[]
132,0.0,0,4,0,0,0,[],[],[]
133,0.4,4,10,0,2,2,[],"['di', 'di']","[('tolak', 'ditolak'), ('cari', 'dicari')]"
134,0.0,0,7,0,0,0,[],[],[]
135,0.0,0,7,0,0,0,[],[],[]
136,0.0,0,4,0,0,0,[],[],[]
137,0.0,0,4,0,0,0,[],[],[]
138,0.1,1,10,0,0,1,[],[],"[('kau', 'engkau')]"
139,0.0,0,9,0,0,0,[],[],[]
140,0.0,0,11,0,0,0,[],[],[]
141,0.2222222222222222,2,9,0,1,1,[],['ah'],"[('pek', 'ahpek')]"
142,0.0,0,5,0,0,0,[],[],[]
143,0.0,0,4,0,0,0,[],[],[]
144,0.0,0,20,0,0,0,[],[],[]
145,0.0,0,5,0,0,0,[],[],[]
146,0.0,0,7,0,0,0,[],[],[]
147,0.14285714285714285,2,14,0,0,2,[],[],"[('zaid', 'seaid'), ('salah', 'seala')]"
148,0.0,0,14,0,0,0,[],[],[]
149,0.0,0,7,0,0,0,[],[],[]
150,0.07692307692307693,1,13,0,0,1,[],[],"[('bantuan', 'memantu')]"
151,0.0,0,10,0,0,0,[],[],[]
152,0.0,0,9,0,0,0,[],[],[]
153,0.0,0,8,0,0,0,[],[],[]
154,0.0,0,4,0,0,0,[],[],[]
155,0.07142857142857142,1,14,0,0,1,[],[],"[('macam', 'maca')]"
156,0.0,0,10,0,0,0,[],[],[]
157,0.0,0,10,0,0,0,[],[],[]
158,1.0,7,7,0,1,6,[],['Purcell'],"[('Cold', 'persil,'), ('Stone', 'coastown'), ('Creamery', 'crimery'), ('A', 'and'), ('New', 'new'), ('Look', 'lok.')]"
159,0.0,0,10,0,0,0,[],[],[]
160,0.0,0,9,0,0,0,[],[],[]
161,0.0,0,15,0,0,0,[],[],[]
162,0.0,0,16,0,0,0,[],[],[]
163,0.0,0,13,0,0,0,[],[],[]
164,0.0,0,14,0,0,0,[],[],[]
165,0.0,0,8,0,0,0,[],[],[]
166,0.0,0,5,0,0,0,[],[],[]
167,0.0,0,19,0,0,0,[],[],[]
168,0.0,0,8,0,0,0,[],[],[]
169,0.0,0,11,0,0,0,[],[],[]
170,0.0,0,5,0,0,0,[],[],[]
171,0.0,0,5,0,0,0,[],[],[]
172,0.0,0,4,0,0,0,[],[],[]
173,0.0,0,7,0,0,0,[],[],[]
174,0.125,1,8,0,0,1,[],[],"[('nisa', 'lisa')]"
175,0.0,0,5,0,0,0,[],[],[]
176,0.0,0,7,0,0,0,[],[],[]
177,0.0,0,9,0,0,0,[],[],[]
178,0.09090909090909091,1,11,0,0,1,[],[],"[('siera', 'sira')]"
179,0.1111111111111111,1,9,0,0,1,[],[],"[('terfikir', 'terfiki')]"
180,0.0,0,11,0,0,0,[],[],[]
181,0.0,0,7,0,0,0,[],[],[]
182,0.0,0,6,0,0,0,[],[],[]
183,0.0,0,10,0,0,0,[],[],[]
184,0.0,0,15,0,0,0,[],[],[]
185,0.0,0,4,0,0,0,[],[],[]
186,0.0,0,10,0,0,0,[],[],[]
187,0.2,2,10,0,0,2,[],[],"[('beralih', 'beralah'), ('sama', 'bersama')]"
188,0.05555555555555555,1,18,0,0,1,[],[],"[('raga', 'ranggak')]"
189,0.0,0,7,0,0,0,[],[],[]
190,0.07142857142857142,1,14,0,0,1,[],[],"[('meluncur', 'menucur')]"
191,0.0,0,4,0,0,0,[],[],[]
192,0.0,0,7,0,0,0,[],[],[]
193,0.0,0,6,0,0,0,[],[],[]
194,0.0,0,6,0,0,0,[],[],[]
195,0.0,0,7,0,0,0,[],[],[]
196,0.0,0,5,0,0,0,[],[],[]
